timestamp,sensor_id,flow_rate,pressure,temperature,ph_level,turbidity,location_x,location_y,status,DQO,OD,coliformes,ecoli,H2S,amonia,qualidade
2025-07-06 21:42:26.950796,Centro,140.28,1.4214577721046084,20.85,8.5,566.25,-44.2906,-2.515,NORMAL,361.42,1.58,1725,1001,1.71,0.59,RUIM
2025-07-06 21:42:26.950796,Renascenca,147.86,1.414092304264674,24.12,7.3,428.24,-44.2562,-2.5038,NORMAL,350.44,4.34,2321,121,1.88,3.01,RUIM
2025-07-06 21:42:26.950796,Turu,148.83,1.7184514745129893,21.42,7.38,108.91,-44.2474,-2.5379,NORMAL,256.97,3.17,1755,1074,1.98,1.26,RUIM
2025-07-06 21:42:26.950796,Sao_Cristovao,190.1,1.9371155979221235,28.44,6.85,316.52,-44.2652,-2.4954,NORMAL,523.23,3.66,1854,790,1.95,3.44,RUIM
2025-07-06 21:42:26.950796,Anil,186.73,1.859557977932873,30.55,7.39,691.81,-44.2549,-2.5227,NORMAL,293.5,4.93,1794,353,1.02,3.32,MODERADA
2025-07-06 21:42:26.950796,Vinhais,220.45,2.130457743345289,32.24,7.19,826.83,-44.2966,-2.57,NORMAL,580.85,1.72,1233,557,1.97,3.49,RUIM
2025-07-06 21:42:26.950796,Bequimao,241.59,2.3812537221586942,29.15,7.45,634.54,-44.2484,-2.5589,NORMAL,361.2,4.03,1415,1015,0.64,3.53,MODERADA
2025-07-06 21:42:26.950796,Cohama,262.24,2.667805657045344,32.67,8.29,552.05,-44.2287,-2.4877,NORMAL,264.66,4.98,1200,165,1.51,3.81,RUIM
2025-07-06 21:42:28.750796,Centro,113.55,1.2827282108881661,30.6,7.92,325.06,-44.2906,-2.515,NORMAL,356.66,3.7,1749,915,1.57,2.09,RUIM
2025-07-06 21:42:28.750796,Renascenca,142.55,1.4521707378466446,19.01,6.69,311.51,-44.2562,-2.5038,NORMAL,268.31,4.42,1773,499,1.27,2.09,MODERADA
2025-07-06 21:42:28.750796,Turu,146.23,1.3713027821299864,18.69,7.91,809.76,-44.2474,-2.5379,NORMAL,561.44,1.99,1584,957,0.01,1.74,RUIM
2025-07-06 21:42:28.750796,Sao_Cristovao,170.38,1.9101876585818796,23.74,8.43,662.33,-44.2652,-2.4954,NORMAL,526.33,4.13,1103,340,0.43,3.1,RUIM
2025-07-06 21:42:28.750796,Anil,191.16,1.849420354441522,30.08,6.76,893.22,-44.2549,-2.5227,NORMAL,449.8,4.85,1644,1088,0.43,1.31,RUIM
